"УИК №3601"	"УИК №3602"	"УИК №3603"	"УИК №3604"	"УИК №3605"	"УИК №3606"	"УИК №3607"	"УИК №3608"	"УИК №3609"	"УИК №3610"	"УИК №3611"	"УИК №3612"	"УИК №3613"	"УИК №3614"	"УИК №3615"	"УИК №3616"	"УИК №3617"	"УИК №3618"	"УИК №3619"	"УИК №3620"	"УИК №3621"	"УИК №3622"	"УИК №3623"	"УИК №3624"	"УИК №3625"	"УИК №3626"	"УИК №3627"	"УИК №3628"	"УИК №3629"	"УИК №3630"	"УИК №3631"	"УИК №3632"	"УИК №3633"	"УИК №3634"	"УИК №3635"	"УИК №3636"	"УИК №3637"	"УИК №3638"	"УИК №3639"	"УИК №3640"	"УИК №3641"	"УИК №3642"	"УИК №3643"	"УИК №3644"	
1089	1039	1059	986	1412	248	337	669	882	918	296	345	489	356	747	875	686	832	682	402	987	730	404	230	490	597	256	209	408	608	587	1182	1086	566	1146	341	755	355	217	544	1035	1101	1229	942	
1050	1000	1000	950	1400	250	350	650	900	900	300	350	500	350	750	850	650	800	650	400	950	700	400	240	500	600	250	200	400	650	600	1200	1100	550	1100	320	750	350	200	550	1050	1100	1100	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
526	455	486	617	688	175	205	405	444	553	188	192	356	200	229	416	284	434	306	254	367	476	221	215	299	355	180	113	287	394	403	556	423	375	566	180	423	196	118	234	551	605	703	532	
269	214	118	175	182	52	100	148	74	77	79	114	51	65	203	179	185	202	216	68	224	130	72	12	86	111	48	23	51	96	88	142	179	121	127	106	166	89	62	108	95	121	136	205	
255	331	396	158	530	23	45	97	382	270	33	44	93	85	318	255	181	164	128	78	359	94	107	13	115	134	22	64	62	160	109	502	498	54	407	34	161	65	20	208	404	374	261	163	
269	214	118	175	182	52	100	148	74	77	79	114	51	65	203	179	185	202	216	68	224	130	72	12	86	111	48	23	51	96	88	142	179	121	127	106	166	89	62	108	95	121	136	205	
526	455	486	617	688	175	205	405	444	553	188	192	356	200	229	416	284	434	306	254	367	476	221	215	299	355	180	113	287	394	403	556	423	375	566	180	423	196	118	234	551	605	703	532	
9	5	0	0	2	0	0	2	5	13	0	1	2	2	1	5	0	4	0	0	3	9	1	2	1	1	0	8	0	0	3	4	10	0	4	0	2	1	0	2	5	9	6	5	
786	664	604	792	868	227	305	551	513	617	267	305	405	263	431	590	469	632	522	322	588	597	292	225	384	465	228	128	338	490	488	694	592	496	689	286	587	284	180	340	641	717	833	732	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	4	4	7	1	0	7	1	7	0	0	2	1	1	3	3	4	3	4	2	5	1	1	1	0	0	0	0	3	0	3	2	1	6	1	3	0	0	3	1	4	1	10	
85	92	81	70	103	4	22	40	56	109	8	22	20	35	51	59	102	82	34	19	44	64	26	12	24	44	15	11	33	64	32	90	74	34	98	38	56	21	6	24	87	100	101	111	
38	15	36	25	47	8	17	36	12	29	15	19	18	5	28	21	31	33	21	23	59	36	13	4	20	27	22	8	17	16	9	66	38	43	52	27	31	22	11	45	34	47	41	58	
648	543	469	687	692	213	264	455	434	449	241	264	357	220	347	499	325	506	454	275	462	485	245	201	335	381	186	107	283	392	440	528	473	410	525	209	490	238	161	261	502	557	661	529	
4	0	5	3	10	0	2	2	3	8	0	0	2	0	0	1	5	1	2	0	3	2	1	0	1	2	2	1	2	2	1	0	0	2	0	2	3	2	0	2	6	1	8	5	
2	8	5	1	2	0	0	5	4	4	2	0	3	0	2	6	3	5	6	0	12	3	4	5	2	6	3	1	0	12	5	1	2	4	4	4	1	0	2	2	6	4	8	10	
2	1	3	2	3	1	0	6	0	5	1	0	3	1	2	1	0	0	2	0	5	0	1	1	0	4	0	0	3	1	1	4	1	1	3	2	2	1	0	1	3	2	6	6	
1	2	1	0	4	0	0	0	3	6	0	0	0	1	0	0	0	1	0	1	1	2	1	1	1	1	0	0	0	0	0	2	2	1	1	3	1	0	0	2	2	2	7	3	
