"УИК №39"	"УИК №41"	"УИК №42"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №50"	"УИК №51"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №80"	"УИК №87"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №1738"	"УИК №3671"	"УИК №3672"	"УИК №3673"	"УИК №3677"	"УИК №3678"	"УИК №3679"	"УИК №3680"	"УИК №3681"	"УИК №3682"	"УИК №3683"	"УИК №4197"	"УИК №4199"	
2002	1707	1938	2003	1567	1643	1703	1764	2295	2320	2124	2134	2219	2381	1528	2583	1847	2217	2597	1874	1220	2306	1421	1666	1895	1897	1504	1710	1434	1797	1784	1861	1974	2198	1803	1875	1807	1650	1473	1357	2102	2052	1618	1879	2594	2611	1843	1827	1654	3130	1584	2233	1866	2188	2401	1738	1765	1844	1731	1720	1919	2575	1752	1989	1996	2279	1962	2122	2227	2664	2180	1935	2101	1998	1455	1750	1781	1394	2235	2002	585	2129	2096	1500	1776	1382	1475	1906	979	2750	1623	1756	329	279	
1800	1500	1800	1600	1300	1500	1600	1600	2000	2300	1900	2000	2200	2300	1500	2500	1700	2000	2200	1800	1200	2300	1300	1400	1700	1700	1300	1700	1300	1400	1600	1800	1700	1700	1700	1700	1700	1600	1200	1200	1700	2000	1500	1500	2000	2100	1700	1600	1500	2200	1300	2000	1700	1900	2200	1500	1600	1600	1400	1500	1600	2300	1500	1600	1700	2100	1700	2000	2000	2400	2000	1900	1800	1700	1300	1500	1700	2000	1900	2000	500	2100	2000	1200	1500	1200	1300	1700	1000	2200	1500	1500	500	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1378	988	1130	1206	999	856	1151	1247	1666	1494	1477	1383	1383	1578	1088	1709	1547	1326	1661	1152	663	1546	883	1164	1171	1109	968	1013	859	1138	1249	1153	1214	1039	1105	1025	1030	782	834	810	1224	1347	1008	1146	1462	1590	1107	1193	997	1946	953	1341	1071	1293	1616	1045	943	936	1092	909	982	1390	945	1206	1120	1271	1064	1270	1181	1480	1157	1321	1365	1088	948	739	1133	1372	1599	1211	399	1690	1184	971	1080	991	842	1231	571	1870	849	939	304	142	
60	172	44	18	13	107	130	40	126	81	2	87	61	30	36	112	32	13	26	98	119	141	4	15	110	39	40	14	23	7	60	108	121	2	66	10	6	80	14	30	1	14	71	13	3	20	47	2	15	14	11	19	15	47	12	28	24	17	10	23	24	18	19	49	13	20	17	134	37	61	51	21	23	257	132	49	63	22	28	67	19	2	174	20	166	2	19	90	22	5	14	46	25	117	
362	340	626	376	288	537	319	312	208	725	421	530	756	692	376	679	121	661	513	550	418	613	413	221	419	552	292	673	418	255	291	539	365	656	529	665	664	738	352	360	475	639	421	341	535	490	546	405	488	240	335	640	614	560	572	427	633	647	298	568	594	892	536	345	567	809	619	596	782	859	792	558	412	355	220	712	504	606	273	722	82	407	642	209	254	207	439	379	407	321	637	514	171	241	
60	172	44	18	13	107	130	40	126	81	2	87	61	29	36	112	32	13	26	98	119	141	4	15	110	39	40	14	23	7	60	108	121	2	66	10	6	80	14	30	1	14	71	13	3	20	47	2	15	14	11	19	15	47	12	28	24	17	10	23	24	18	19	49	13	20	17	129	37	61	51	21	23	257	132	49	63	22	28	67	19	2	174	20	166	2	19	90	22	5	14	46	25	117	
1378	988	1130	1206	999	846	1151	1247	1666	1494	1477	1383	1383	1549	1052	1708	1547	1326	1661	1151	663	1546	879	1163	1171	1109	968	1013	859	1138	1249	1153	1214	1039	1105	1025	1030	782	834	810	1224	1347	1008	1145	1462	1590	1107	1193	997	1923	953	1341	1071	1293	1616	1045	943	934	1092	909	982	1390	945	1206	1120	1270	1064	1270	1181	1476	1157	1321	1365	1088	948	739	1133	1348	1599	1211	399	1690	1184	971	1080	991	842	1231	571	1870	848	939	304	142	
11	21	10	41	17	10	12	16	28	43	12	27	14	34	9	21	23	10	33	21	8	22	0	10	16	14	11	12	14	14	15	9	16	15	17	16	13	9	9	6	26	17	10	13	5	12	11	11	5	86	17	32	15	14	16	21	11	4	24	23	16	24	41	9	12	19	24	22	7	65	18	18	34	16	9	3	63	21	29	43	5	18	13	30	31	13	15	10	1	16	29	10	0	4	
1427	1139	1164	1183	995	943	1269	1271	1764	1532	1467	1443	1430	1544	1079	1799	1556	1329	1654	1228	774	1665	883	1168	1265	1134	997	1015	868	1131	1294	1252	1319	1026	1154	1019	1023	853	839	834	1199	1344	1069	1145	1460	1598	1143	1184	1007	1851	947	1328	1071	1326	1612	1052	956	947	1078	909	990	1384	923	1246	1121	1271	1057	1377	1211	1472	1190	1324	1354	1329	1071	785	1133	1349	1598	1235	413	1674	1345	961	1215	980	846	1311	592	1859	833	975	329	255	
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	5	8	6	5	5	7	12	14	11	11	14	8	10	9	11	10	11	11	11	4	19	11	4	20	6	9	13	7	9	6	7	12	7	6	10	15	3	4	8	9	12	7	7	9	12	9	14	7	11	4	14	7	11	15	6	4	7	8	7	11	12	5	14	6	6	9	7	12	14	4	16	15	10	12	2	7	10	9	13	3	12	10	3	4	8	6	7	2	12	7	8	3	3	
154	114	100	156	143	92	98	154	210	185	198	201	219	200	106	225	151	163	187	151	75	246	114	164	201	191	132	135	116	138	135	131	198	133	160	103	144	94	94	78	198	182	165	165	218	222	157	147	130	267	128	187	134	212	253	160	128	117	160	120	112	195	127	137	154	183	174	183	129	195	132	147	172	134	133	81	131	161	191	163	70	264	100	128	118	109	126	214	78	273	114	124	30	22	
