"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №216"	"УИК №217"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №302"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	
98	97	97	98	97	97	99	98	97	98	95	99	98	98	24	24	28	26	19	19	30	20	19	50	44	29	29	30	21	60	28	58	30	17	27	28	49	29	31	30	27	34	28	33	28	28	27	28	68	68	70	67	129	95	129	134	85	6	16	18	17	16	16	14	15	23	14	14	14	16	16	27	14	14	51	13	36	39	24	127	60	97	98	102	28	14	18	18	18	14	14	15	15	14	36	13	12	9	109	27	60	45	31	24	24	25	72	13	22	19	21	11	15	13	65	33	24	52	16	13	21	18	30	
100	99	99	100	99	98	101	100	99	100	97	101	100	100	26	26	30	28	21	21	32	21	21	52	46	31	31	32	23	62	30	60	32	19	29	30	51	31	33	32	29	36	30	35	30	30	29	30	70	70	72	69	131	97	131	136	87	8	18	20	19	18	18	16	17	25	16	14	16	18	18	29	16	16	53	15	38	41	26	129	62	99	100	104	30	16	20	20	20	16	16	17	17	16	38	15	14	11	111	29	62	47	33	26	26	27	74	13	24	21	23	13	17	15	67	35	26	54	16	15	23	20	32	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
98	96	97	98	97	97	99	98	97	98	95	99	98	98	24	24	28	26	19	19	30	20	19	50	44	29	29	30	19	60	26	58	30	14	27	28	49	29	31	30	27	34	28	33	28	23	27	28	68	68	70	67	129	95	129	133	85	6	16	18	17	16	16	8	15	23	14	14	14	16	16	20	14	14	51	13	36	39	24	127	60	91	98	102	28	14	18	18	18	14	14	15	15	13	36	13	12	9	109	27	60	45	31	24	24	25	69	13	22	19	21	10	15	13	65	33	24	48	16	13	14	18	30	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	4	2	4	2	2	5	2	2	2	2	2	2	2	2	2	2	2	7	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	8	2	2	2	0	2	2	2	9	2	2	2	2	2	2	2	2	2	8	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	5	0	2	2	2	3	2	2	2	2	2	6	0	2	9	2	2	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
98	96	97	98	97	97	99	98	97	98	95	99	98	98	24	24	28	26	19	19	30	20	19	50	44	29	29	30	19	60	26	58	30	14	27	28	49	29	31	30	27	34	28	33	28	23	27	28	68	68	70	67	129	95	129	133	85	6	16	18	17	16	16	8	15	23	14	14	14	16	16	20	14	14	51	13	36	39	24	127	60	91	98	102	28	14	18	18	18	14	14	15	15	13	36	13	12	9	109	27	60	45	31	24	24	25	69	13	22	19	21	10	15	13	65	33	24	48	16	13	14	18	30	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	
98	96	97	98	97	97	99	98	97	98	95	99	98	98	24	24	28	26	19	19	30	20	19	48	44	29	28	29	19	60	25	58	30	14	27	28	49	29	31	30	27	34	28	32	27	23	27	28	68	68	70	67	129	95	128	133	85	6	16	17	17	15	16	8	15	23	14	14	14	16	16	20	13	13	51	13	36	39	24	127	60	90	98	102	28	14	18	18	18	14	14	14	15	13	36	12	12	9	109	27	57	44	31	24	24	25	69	13	22	18	20	10	15	13	65	32	24	47	16	13	14	18	30	
