"УИК №145"	"УИК №146"	"УИК №147"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	
1055	791	1012	2468	2095	1400	1426	1166	1445	1399	2730	2224	1089	1866	1772	1649	2477	2183	2309	2360	2572	2146	2155	2487	1196	1506	2460	2245	2242	1870	1975	1336	1717	915	2175	1186	1967	1904	1891	1293	1735	1819	2479	1499	2015	2106	1314	1379	1797	1366	1901	1845	1449	1400	1546	2207	1461	2792	1440	2125	1014	1441	1298	1735	1388	1459	1066	1661	1693	2019	1781	1633	1416	1474	978	559	1197	953	1085	492	578	
1000	700	1000	2400	2000	1300	1400	1600	1400	1400	2700	2200	1000	1800	1700	1600	2400	2200	2300	2300	2600	2100	2000	2400	1100	1500	2400	2200	2200	1800	1900	1300	1600	800	2100	1100	1900	1900	1600	1200	1700	1700	2500	1400	2000	2000	1300	1300	1800	1300	1800	1800	1400	1300	1500	2200	1400	2800	1400	2100	1000	1400	1300	1700	1300	1300	1000	1600	1700	2000	1800	1600	1400	1400	900	500	1200	900	1000	400	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
451	449	615	1352	1388	972	973	1113	864	810	1828	1439	648	1069	1108	1111	1614	1473	1499	1623	1694	1447	1121	1593	777	935	1479	1269	1327	1124	1306	736	1039	455	1315	787	1198	1028	940	772	1023	1240	1595	965	1288	1355	853	974	1172	767	1151	1183	707	839	1051	1411	833	1528	808	1218	522	861	760	933	624	566	536	875	904	1005	760	827	722	712	571	341	626	544	587	247	440	
115	15	12	47	31	23	28	53	79	31	35	27	23	37	33	39	49	46	20	32	26	31	111	19	18	34	25	41	68	29	36	6	40	64	41	21	54	32	212	27	55	31	47	18	24	18	13	26	18	30	48	23	20	28	16	37	9	42	20	57	14	35	31	53	14	63	51	40	41	30	26	21	23	123	58	36	87	35	50	29	2	
434	236	373	1001	581	305	399	434	457	559	837	734	329	694	559	450	736	681	781	645	880	622	768	788	305	531	896	890	805	647	558	558	521	281	744	292	648	840	448	400	622	429	858	417	688	627	434	300	610	503	601	594	673	433	433	752	558	1230	572	825	464	504	509	714	662	671	413	685	755	965	1014	752	655	565	271	123	487	321	363	124	58	
115	15	12	47	31	23	28	53	79	31	35	27	23	37	33	39	49	46	20	32	26	31	111	19	18	34	25	41	68	29	36	6	40	64	41	21	54	32	212	27	55	31	47	18	24	18	13	26	18	30	48	23	20	27	16	37	9	42	20	57	14	35	31	53	14	63	51	40	41	30	26	21	23	123	58	36	87	35	50	29	2	
450	449	615	1351	1388	972	973	1113	864	810	1827	1439	648	1069	1108	1111	1613	1471	1498	1622	1691	1445	1121	1593	777	935	1477	1269	1327	1124	1306	736	1039	455	1315	786	1198	1028	940	772	1023	1240	1594	963	1287	1355	853	974	1172	767	1151	1183	707	839	1051	1411	833	1526	808	1218	522	861	760	933	624	566	536	875	904	1005	760	827	722	712	571	341	626	544	587	247	440	
3	6	12	24	11	19	16	26	17	17	40	33	11	15	17	28	32	24	27	14	25	32	16	26	24	14	30	19	37	30	27	18	20	10	30	17	20	9	17	15	20	25	37	19	24	29	15	16	21	11	15	14	8	14	20	31	16	34	14	21	7	15	10	5	9	9	12	14	20	6	22	19	10	10	6	5	9	4	15	6	2	
562	458	615	1374	1408	976	985	1140	926	824	1822	1433	660	1091	1124	1122	1630	1493	1491	1640	1692	1444	1216	1586	771	955	1472	1291	1358	1123	1315	724	1059	509	1326	790	1232	1051	1135	784	1058	1246	1604	962	1287	1344	851	984	1169	786	1184	1192	719	852	1047	1417	826	1534	814	1254	529	881	781	981	629	620	575	901	925	1029	764	829	735	825	623	372	704	575	622	270	440	
