"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	
1847	1680	693	360	260	1219	1596	533	437	489	932	491	1799	525	233	773	708	460	1175	726	683	504	521	1829	349	307	735	1109	130	585	545	358	1233	125	240	121	587	438	552	1572	1011	1801	1832	1822	
1660	1480	610	310	217	1130	1420	430	370	450	820	430	1580	420	210	619	640	410	1060	620	570	450	440	1610	300	250	590	1010	110	510	560	310	1110	100	230	106	520	410	490	1400	890	1510	1650	1610	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1069	934	409	192	165	714	910	327	294	271	593	288	1041	336	141	378	388	258	728	401	451	323	293	1198	209	207	457	591	61	377	294	210	735	84	134	65	322	294	354	955	649	1172	1211	1009	
63	39	28	10	24	15	69	41	14	33	60	15	36	22	18	160	40	16	43	68	33	34	50	76	31	8	41	149	20	35	60	60	77	6	70	23	71	17	24	82	36	89	32	150	
528	507	173	108	28	401	441	62	62	146	167	127	503	62	51	81	212	136	289	151	86	93	97	336	60	35	92	270	29	98	206	40	298	10	26	18	127	99	112	363	205	249	407	451	
63	39	28	10	24	15	69	41	14	33	60	15	36	22	18	160	40	16	43	68	33	34	50	76	31	8	41	149	20	35	60	60	77	6	70	23	71	17	24	82	36	89	32	150	
1069	934	409	192	165	714	910	327	294	271	593	288	1041	336	141	378	388	258	727	401	451	323	293	1196	209	207	457	590	61	377	294	210	735	84	134	65	322	294	354	954	649	1172	1211	1009	
13	5	8	3	5	13	7	3	0	2	2	5	16	5	2	11	6	4	7	3	3	2	3	16	3	1	3	4	1	2	4	3	8	0	0	0	2	2	5	16	6	19	14	21	
1119	968	429	199	184	716	972	365	308	302	651	298	1061	353	157	527	422	270	763	466	481	355	340	1256	237	214	495	735	80	410	350	267	804	90	204	88	391	309	373	1020	679	1242	1229	1138	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	11	3	2	1	6	6	0	1	1	8	4	5	2	2	4	1	1	5	3	4	5	1	11	0	2	7	2	0	1	2	5	10	0	2	0	2	1	5	9	7	5	13	6	
139	85	54	17	23	73	109	43	32	43	89	29	138	65	13	67	62	33	77	55	43	33	22	131	26	23	61	110	9	64	58	24	94	9	16	10	27	34	27	141	96	175	182	145	
83	73	37	16	15	55	61	22	26	27	53	30	78	33	4	43	36	28	68	42	45	27	15	122	15	20	55	74	4	47	21	32	58	7	18	5	31	13	37	70	46	91	91	100	
851	759	324	158	136	552	760	293	238	220	482	228	804	232	129	385	310	202	594	355	374	283	295	950	191	160	363	537	64	280	262	202	611	73	160	68	317	252	288	762	500	905	881	851	
21	15	5	1	2	8	17	3	5	5	7	3	18	4	1	15	6	4	7	5	3	0	3	19	2	5	5	2	0	10	2	3	11	0	3	4	4	5	3	17	18	28	24	19	
5	4	2	0	4	4	1	2	2	3	6	1	6	2	4	3	3	0	3	1	4	0	4	6	0	2	1	5	0	3	2	1	5	1	0	0	2	3	3	9	3	7	6	9	
5	12	0	2	3	10	8	2	3	2	1	2	10	7	1	6	3	2	7	4	2	6	0	8	1	1	0	3	1	2	2	0	6	0	4	1	3	1	5	9	2	20	14	2	
7	9	4	3	0	8	10	0	1	1	5	1	2	8	3	4	1	0	2	1	6	1	0	9	2	1	3	2	2	3	1	0	9	0	1	0	5	0	5	3	7	11	18	6	
